app_id,app_name,review_count
312530,Duck Game,27945
476600,Call of Duty: WWII,27617
1118200,People Playground,26319
728880,Overcooked! 2,26015
250320,The Wolf Among Us,24931
339800,HuniePop,24666
485510,Nioh: Complete Edition,24622
447530,VA-11 Hall-A: Cyberpunk Bartender Action,23694
583950,Artifact,23509
420,Half-Life 2: Episode Two,23501
47890,The Sims(TM) 3,22812
841370,NBA 2K19,22437
221640,Super Hexagon,22216
535930,Two Point Hospital,22116
637090,BATTLETECH,21813
420290,Blackwake,21147
424840,Little Nightmares,20982
447820,Day of Infamy,20908
292730,Call of Duty: Infinite Warfare,20736
32470,STAR WARS™ Empire at War: Gold Pack,20553
640820,Pathfinder: Kingmaker,20386
1089980,The Henry Stickmin Collection,19400
420530,OneShot,18975
577800,NBA 2K18,18718
285190,"Warhammer 40,000: Dawn of War III",18435
517630,Just Cause 4,18111
247730,Nether,17406
527230,For The King,17118
413410,Danganronpa: Trigger Happy Havoc,16689
1128000,Cube World,16333
760060,Mutant Year Zero: Road to Eden,16208
489940,BATTALION 1944,16004
288160,The Room,15820
1225330,NBA 2K21,15735
264200,One Finger Death Punch,15504
214560,Mark of the Ninja,15501
626690,Sword Art Online: Fatal Bullet,14612
464920,Surviving Mars,13714
413420,Danganronpa 2: Goodbye Despair,13622
427290,Vampyr,13312
250760,Shovel Knight: Treasure Trove,13030
512900,Streets of Rogue,12711
428690,Youtubers Life,12621
283640,Salt and Sanctuary,12362
673950,Farm Together,12317
872790,Football Manager 2019,11906
429660,Tales of Berseria,11904
736260,Baba Is You,11762
560130,Pillars of Eternity II: Deadfire,11619
206190,Gunpoint,11610
571740,Golf It!,11515
425580,The Room Two,11336
590380,Into the Breach,11246
519860,DUSK,11050
421020,DiRT 4,11020
1222700,A Way Out,10941
481510,Night in the Woods,10808
337340,Finding Paradise,10429
731490,Crash Bandicoot™ N. Sane Trilogy,10313
681660,Bless Online,10197
712100,Total War Saga: Thrones of Britannia,10009
606280,Darksiders III,10008
269950,X-Plane 11,10000
773951,Freeman: Guerrilla Warfare,9904
704850,Thief Simulator,9626
412830,STEINS;GATE,9621
787480,Phoenix Wright: Ace Attorney Trilogy,9360
531510,Just Shapes & Beats,9256
555220,Detention,9203
341800,Keep Talking and Nobody Explodes,8813
1240210,There Is No Game: Wrong Dimension,8409
428550,Momodora: Reverie Under the Moonlight,8218
544750,SOULCALIBUR VI,8211
875210,三国群英传8 Heroes of the Three Kingdoms 8,8111
445220,Avorion,8108
743450,Monster Prom,8012
609320,FAR: Lone Sails,8005
730310,DYNASTY WARRIORS 9,7807
593600,PixARK,7711
537800,Bomber Crew,7689
589360,Ni no Kuni™ II: Revenant Kingdom,7609
1291340,Townscaper,7601
1056960,Wolfenstein: Youngblood,7445
673880,"Warhammer 40,000: Mechanicus",7207
1180380,Stay Out,7170
690830,Foundation,7060
2870,X Rebirth,7001
619080,SOS,6900
291860,Pit People,6806
701160,Kingdom Two Crowns,6709
530070,Train Sim World® 2020,6504
503940,Railway Empire,6302
200900,Cave Story+,6208
585420,Trailmakers,6026
1017900,Age of Empires: Definitive Edition,5963
382310,Eco,5918
1055540,A Short Hike,5847
297130,Titan Souls,5714
526160,The Wild Eight,5601
1229490,ULTRAKILL,5584
671510,Desolate,5503
236510,Takedown: Red Sabre,5502
620590,Ancestors Legacy,5403
1170880,Grimm's Hollow,5345
275390,Guacamelee! Super Turbo Championship Edition,5318
753420,Dungreed,5312
282560,RollerCoaster Tycoon World,5304
677120,Heroes of Hammerwatch,5207
572410,Steel Division: Normandy 44,5201
899440,GOD EATER 3,5128
1144400,Senren＊Banka,5034
788260,Rules Of Survival,4902
758190,Dragon Cliff 龙崖,4601
546050,Puyo Puyo™Tetris®,4497
543460,Dead Rising 4,4308
595520,FINAL FANTASY XII THE ZODIAC AGE,4207
632350,Cyberdimension Neptunia: 4 Goddesses Online,4200
502800,SENRAN KAGURA ESTIVAL VERSUS,4105
543900,METAL GEAR SURVIVE,4104
332200,Axiom Verge,4015
677160,We Were Here Too,3809
613830,CHRONO TRIGGER,3802
1015500,WWE 2K20,3638
258180,Deus Ex: The Fall,3610
322110,20XX,3610
272270,Torment: Tides of Numenera,3601
857980,Void Bastards,3573
858210,Nova Drift,3539
405710,Staxel,3500
417290,Ghost of a Tale,3303
355790,Styx: Shards of Darkness,3204
825630,STEINS;GATE 0,3202
753650,Due Process,3104
671440,Rise of Industry,3102
696170,SENRAN KAGURA Peach Beach Splash,3100
631510,Devil May Cry HD Collection,2999
817130,WWE 2K19,2907
7510,X-Blades,2805
357190,Ultimate Marvel vs. Capcom 3,2804
598330,SimAirport,2803
393520,Iconoclasts,2800
569860,Thimbleweed Park,2800
541210,Cold Waters,2714
390340,Umbrella Corps,2505
688130,Pogostuck: Rage With Your Friends,2332
352550,Urban Empire,2300
247240,Volgarr the Viking,2202
334040,Down To One,2101
524580,Fairy Fencer F Advent Dark Force,2101
629910,Clicker Heroes 2,2100
583470,The End Is Nigh,2018
495560,Farm Manager 2018,2002
637670,Secret of Mana,1900
723390,Hunt Down The Freeman,1815
792990,Identity,1804
501080,Fishing: Barents Sea,1802
748490,The Legend of Heroes: Trails of Cold Steel II,1701
686600,Rapture Rejects,1603
502280,BERSERK and the Band of the Hawk,1601
772540,Battle Royale Trainer,1600
510510,WWE 2K17,1499
400940,Budget Cuts,1298
551730,Toukiden 2,1200
732810,Slipstream,1103
611760,Don't Escape: 4 Days to Survive,1013
385560,Shadow Complex Remastered,700
619290,Out of the Park Baseball 19,700
574050,DRAGON QUEST HEROES™ II,600
